fed;slot;oh;vfat;channel
1468;1;8;21;126
1468;1;8;21;127
1468;1;8;22;0
1468;1;8;22;2
1468;1;8;22;3
1468;1;8;23;126
1468;1;9;0;126
1468;1;9;0;127
1468;1;9;1;126
1468;1;9;2;2
1468;1;9;3;0
1468;1;9;4;125
1468;1;9;4;126
1468;1;9;5;0
1468;1;9;5;2
1468;1;9;5;3
1468;1;9;6;125
1468;1;9;6;126
1468;1;9;7;2
1468;1;9;8;0
1468;1;9;10;0
1468;1;9;10;2
1468;1;9;11;34
1468;1;9;11;54
1468;1;9;11;76
1468;1;9;12;63
1468;1;9;12;82
1468;1;9;12;83
1468;1;9;12;89
1468;1;9;12;95
1468;1;9;13;0
1468;1;9;13;1
1468;1;9;13;2
1468;1;9;13;3
1468;1;9;16;2
1468;1;9;17;2
1468;1;9;17;3
1468;1;9;18;123
1468;1;9;19;126
1468;1;9;20;0
1468;1;9;20;2
1468;1;9;21;125
1468;1;9;21;126
1468;1;9;22;0
1468;1;9;22;1
1468;1;9;22;4
1468;1;9;22;5
1468;1;9;22;9
1468;1;9;22;12
1468;1;9;22;13
1468;1;9;22;20
1468;1;9;23;126
1468;1;10;2;2
1468;1;10;3;2
1468;1;10;4;0
1468;1;10;4;2
1468;1;10;5;0
1468;1;10;5;2
1468;1;10;5;3
1468;1;10;5;10
1468;1;10;6;2
1468;1;10;7;16
1468;1;10;10;2
1468;1;10;13;0
1468;1;10;14;60
1468;1;10;18;126
1468;1;10;19;126
1468;1;10;20;126
1468;1;11;2;2
1468;1;11;3;2
1468;1;11;4;0
1468;1;11;4;2
1468;1;11;5;0
1468;1;11;5;2
1468;1;11;6;2
1468;1;11;8;0
1468;1;11;10;2
1468;1;11;12;0
1468;1;11;12;2
1468;1;11;13;0
1468;1;11;13;2
1468;1;11;16;2
1468;1;11;18;126
1468;1;11;18;127
1468;1;11;19;126
1468;1;11;20;118
1468;1;11;20;127
1468;1;11;21;126
1468;1;11;22;126
1469;1;0;10;126
1469;1;0;10;127
1469;1;0;11;0
1469;1;0;11;1
1469;1;0;11;2
1469;1;0;11;124
1469;1;0;11;126
1469;1;1;6;35
1469;1;1;6;37
1469;1;1;6;43
1469;1;1;8;67
1469;1;1;9;29
1469;1;2;0;1
1469;1;2;0;3
1469;1;2;0;5
1469;1;2;1;119
1469;1;2;1;121
1469;1;2;1;126
1469;1;2;1;127
1469;1;2;8;60
1469;1;2;8;62
1469;1;2;10;118
1469;1;2;10;126
1469;1;2;10;127
1469;1;2;11;0
1469;1;2;11;1
1469;1;3;0;0
1469;1;3;9;100
1469;1;3;9;102
1467;3;0;0;122
1467;3;0;0;126
1467;3;0;0;127
1467;3;0;1;126
1467;3;0;2;2
1467;3;0;4;125
1467;3;0;4;126
1467;3;0;4;127
1467;3;0;5;0
1467;3;0;5;2
1467;3;0;5;3
1467;3;0;6;125
1467;3;0;7;2
1467;3;0;8;0
1467;3;0;8;2
1467;3;0;9;0
1467;3;0;9;2
1467;3;0;10;0
1467;3;0;13;0
1467;3;0;13;1
1467;3;0;13;2
1467;3;0;13;9
1467;3;0;13;20
1467;3;0;14;126
1467;3;0;15;0
1467;3;0;15;2
1467;3;0;16;2
1467;3;0;17;2
1467;3;0;18;126
1467;3;0;19;122
1467;3;0;19;126
1467;3;0;19;127
1467;3;0;20;2
1467;3;0;21;125
1467;3;0;21;126
1467;3;0;22;2
1467;3;0;23;126
1467;3;1;0;122
1467;3;1;0;125
1467;3;1;0;126
1467;3;1;0;127
1467;3;1;1;122
1467;3;1;1;125
1467;3;1;1;126
1467;3;1;1;127
1467;3;1;2;0
1467;3;1;2;1
1467;3;1;2;2
1467;3;1;2;3
1467;3;1;2;126
1467;3;1;3;2
1467;3;1;4;122
1467;3;1;4;125
1467;3;1;4;126
1467;3;1;4;127
1467;3;1;5;0
1467;3;1;5;2
1467;3;1;5;3
1467;3;1;6;122
1467;3;1;6;123
1467;3;1;6;125
1467;3;1;6;126
1467;3;1;6;127
1467;3;1;7;0
1467;3;1;7;2
1467;3;1;7;3
1467;3;1;7;62
1467;3;1;8;0
1467;3;1;8;2
1467;3;1;8;21
1467;3;1;9;0
1467;3;1;9;2
1467;3;1;9;3
1467;3;1;10;0
1467;3;1;10;1
1467;3;1;10;2
1467;3;1;10;3
1467;3;1;10;126
1467;3;1;11;0
1467;3;1;11;2
1467;3;1;13;0
1467;3;1;13;1
1467;3;1;13;2
1467;3;1;13;3
1467;3;1;13;126
1467;3;1;14;0
1467;3;1;14;125
1467;3;1;14;126
1467;3;1;15;0
1467;3;1;15;2
1467;3;1;16;0
1467;3;1;16;2
1467;3;1;16;3
1467;3;1;17;0
1467;3;1;17;2
1467;3;1;17;3
1467;3;1;18;122
1467;3;1;18;125
1467;3;1;18;126
1467;3;1;18;127
1467;3;1;19;125
1467;3;1;19;126
1467;3;1;19;127
1467;3;1;20;0
1467;3;1;20;1
1467;3;1;20;2
1467;3;1;20;3
1467;3;1;21;125
1467;3;1;21;126
1467;3;1;21;127
1467;3;1;22;0
1467;3;1;22;2
1467;3;1;22;3
1467;3;1;22;6
1467;3;1;23;125
1467;3;1;23;126
1467;3;1;23;127
1467;3;2;2;2
1467;3;2;4;0
1467;3;2;4;2
1467;3;2;5;0
1467;3;2;5;2
1467;3;2;6;0
1467;3;2;10;0
1467;3;2;10;2
1467;3;2;12;0
1467;3;2;13;0
1467;3;2;15;0
1467;3;2;18;127
1467;3;2;19;126
1467;3;2;20;122
1467;3;2;20;125
1467;3;2;20;127
1467;3;2;22;126
1467;3;2;23;118
1467;3;3;1;126
1467;3;3;2;2
1467;3;3;3;2
1467;3;3;4;0
1467;3;3;4;2
1467;3;3;5;0
1467;3;3;5;2
1467;3;3;9;2
1467;3;3;12;2
1467;3;3;13;0
1467;3;3;13;2
1467;3;3;18;126
1467;3;3;18;127
1467;3;3;19;126
1467;3;3;20;125
1467;3;3;20;126
1467;3;3;21;126
1467;3;4;0;125
1467;3;4;0;126
1467;3;4;0;127
1467;3;4;1;122
1467;3;4;1;125
1467;3;4;1;126
1467;3;4;1;127
1467;3;4;2;0
1467;3;4;2;2
1467;3;4;2;3
1467;3;4;2;6
1467;3;4;3;0
1467;3;4;3;2
1467;3;4;3;3
1467;3;4;3;6
1467;3;4;3;7
1467;3;4;4;125
1467;3;4;4;126
1467;3;4;4;127
1467;3;4;5;0
1467;3;4;5;2
1467;3;4;5;3
1467;3;4;6;122
1467;3;4;6;123
1467;3;4;6;125
1467;3;4;6;126
1467;3;4;6;127
1467;3;4;7;0
1467;3;4;7;2
1467;3;4;7;3
1467;3;4;8;0
1467;3;4;8;1
1467;3;4;8;2
1467;3;4;9;0
1467;3;4;9;2
1467;3;4;9;126
1467;3;4;10;0
1467;3;4;10;2
1467;3;4;10;3
1467;3;4;10;126
1467;3;4;11;0
1467;3;4;11;1
1467;3;4;11;2
1467;3;4;12;125
1467;3;4;12;126
1467;3;4;13;0
1467;3;4;13;1
1467;3;4;13;2
1467;3;4;13;3
1467;3;4;14;124
1467;3;4;14;125
1467;3;4;14;126
1467;3;4;15;0
1467;3;4;15;1
1467;3;4;15;2
1467;3;4;16;0
1467;3;4;16;2
1467;3;4;16;3
1467;3;4;17;0
1467;3;4;17;2
1467;3;4;17;3
1467;3;4;18;125
1467;3;4;18;126
1467;3;4;18;127
1467;3;4;20;0
1467;3;4;20;2
1467;3;4;20;3
1467;3;4;20;6
1467;3;4;21;125
1467;3;4;21;126
1467;3;4;21;127
1467;3;4;22;0
1467;3;4;22;1
1467;3;4;22;2
1467;3;4;22;3
1467;3;4;23;122
1467;3;4;23;125
1467;3;5;0;126
1467;3;5;0;127
1467;3;5;1;126
1467;3;5;1;127
1467;3;5;2;0
1467;3;5;2;2
1467;3;5;2;3
1467;3;5;3;0
1467;3;5;3;2
1467;3;5;3;20
1467;3;5;4;126
1467;3;5;5;0
1467;3;5;5;2
1467;3;5;6;122
1467;3;5;6;126
1467;3;5;6;127
1467;3;5;7;2
1467;3;5;8;0
1467;3;5;8;2
1467;3;5;9;0
1467;3;5;9;2
1467;3;5;10;0
1467;3;5;10;2
1467;3;5;12;125
1467;3;5;12;126
1467;3;5;13;0
1467;3;5;13;1
1467;3;5;13;2
1467;3;5;13;3
1467;3;5;14;126
1467;3;5;15;0
1467;3;5;15;2
1467;3;5;16;2
1467;3;5;16;3
1467;3;5;17;0
1467;3;5;17;2
1467;3;5;18;122
1467;3;5;18;126
1467;3;5;18;127
1467;3;5;19;126
1467;3;5;20;0
1467;3;5;20;2
1467;3;5;20;3
1467;3;5;21;122
1467;3;5;21;124
1467;3;5;21;125
1467;3;5;21;126
1467;3;5;21;127
1467;3;5;22;0
1467;3;5;22;2
1467;3;5;22;3
1467;3;5;22;6
1467;3;5;23;102
1467;3;5;23;124
1467;3;5;23;126
1467;3;5;23;127
1467;3;6;0;94
1467;3;6;0;126
1467;3;6;2;2
1467;3;6;3;2
1467;3;6;4;0
1467;3;6;4;2
1467;3;6;4;3
1467;3;6;5;0
1467;3;6;5;2
1467;3;6;5;3
1467;3;6;6;2
1467;3;6;7;2
1467;3;6;7;16
1467;3;6;8;0
1467;3;6;8;2
1467;3;6;9;0
1467;3;6;10;0
1467;3;6;11;0
1467;3;6;12;0
1467;3;6;12;2
1467;3;6;13;0
1467;3;6;15;0
1467;3;6;18;126
